,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
64,Port Macquarie,21,AU,1584329468,88,-31.43,152.92,73.99,2.1
65,Liverpool,40,GB,1584329191,81,53.41,-2.98,45.0,5.1
66,Bay Saint Louis,1,US,1584329489,82,30.31,-89.33,69.8,0.51
67,San Ignacio,1,BZ,1584329466,78,17.16,-89.07,75.2,3.1
68,Severo-Kuril'sk,97,RU,1584329489,95,50.68,156.12,24.84,20.89
69,Vila Franca do Campo,20,PT,1584329279,76,37.72,-25.43,50.0,1.0
70,Aklavik,75,CA,1584329292,70,68.22,-135.01,-0.4,2.1
71,George Town,20,MY,1584329489,59,5.41,100.34,89.6,2.1
72,Colon,20,VE,1584329490,69,8.03,-72.26,77.0,2.1
73,Nanortalik,19,GL,1584329490,65,60.14,-45.24,18.41,11.14
74,Waipawa,100,NZ,1584329490,60,-41.41,175.52,70.0,4.6
75,Talcahuano,0,CL,1584329490,76,-36.72,-73.12,57.2,4.1
76,Carballo,20,ES,1584329490,75,43.21,-8.69,51.01,6.7
77,Khatanga,19,RU,1584329491,93,71.97,102.5,-25.28,5.14
78,Atuona,0,PF,1584329491,65,-9.8,-139.03,82.2,3.91
79,Lawrenceburg,90,US,1584329491,83,38.04,-84.9,42.8,2.1
80,Vardø,100,NO,1584329491,57,70.37,31.11,26.46,2.28
81,Hofn,100,IS,1584329336,67,64.25,-15.21,41.2,15.32
82,Nuuk,0,GL,1584329492,59,64.18,-51.72,1.4,6.7
83,Salihorsk,0,BY,1584329492,53,52.79,27.54,27.73,3.51
84,Lazi,0,UA,1584329492,34,48.07,24.23,29.84,1.27
85,Saint-Philippe,90,RE,1584329493,78,-21.36,55.77,78.8,4.6
86,Tommot,100,RU,1584329493,94,58.96,126.29,26.69,1.39
87,Dikson,100,RU,1584329493,100,73.51,80.55,-14.04,3.7
88,Deputatsky,0,RU,1584329493,81,69.3,139.9,-16.01,1.59
89,Bunbury,91,AU,1584329493,59,-33.33,115.63,72.0,2.68
90,Florø,3,NO,1584329494,64,61.6,5.03,37.0,3.6
91,Thompson,90,CA,1584329494,85,55.74,-97.86,15.8,5.7
92,Lebu,0,CL,1584329444,76,-37.62,-73.65,56.28,3.78
93,Valencia,75,ES,1584329494,87,39.33,-0.83,59.0,2.6
94,Mahon,99,ES,1584329495,93,39.89,4.27,55.4,7.2
95,Ribeira Grande,4,PT,1584329297,79,38.52,-28.7,56.34,4.17
96,Avarua,100,CK,1584329220,79,-21.21,-159.78,84.2,3.1
97,East London,97,ZA,1584329496,71,-33.02,27.91,69.26,5.3
98,Pisco,40,PE,1584329496,83,-13.7,-76.22,73.4,2.6
99,Price,75,US,1584329496,52,39.6,-110.81,46.4,2.1
100,Chokurdakh,0,RU,1584329274,87,70.63,147.92,-9.85,2.55
101,Bamenda,97,CM,1584329497,55,5.95,10.16,63.82,0.55
102,Ipixuna,75,BR,1584329497,94,-1.76,-48.8,73.4,2.6
103,Mudanjiang,100,CN,1584329497,81,44.58,129.6,22.77,3.18
104,Carnarvon,8,AU,1584329498,62,-24.87,113.63,84.2,7.2
105,Bluff,67,NZ,1584329224,71,-46.6,168.33,54.0,6.71
106,Inhambane,2,MZ,1584329299,82,-23.86,35.38,78.04,4.35
107,Coos Bay,90,US,1584329498,93,43.37,-124.22,44.6,3.6
108,Kiruna,33,SE,1584329498,79,67.86,20.23,21.2,8.7
109,Nome,100,US,1584329498,98,64.5,-165.41,30.61,3.47
110,Codrington,0,AU,1584329499,76,-38.27,141.97,60.51,6.19
111,Yellowknife,20,CA,1584329351,65,62.46,-114.35,8.6,5.7
112,Bredasdorp,76,ZA,1584329499,88,-34.53,20.04,62.6,5.1
113,Sungai Penuh,62,ID,1584329347,68,-2.08,101.38,75.18,1.41
114,Shingū,75,JP,1584329499,46,33.73,135.98,48.2,9.3
115,Saskylakh,100,RU,1584329500,95,71.92,114.08,-12.32,9.26
116,Nizhnevartovsk,75,RU,1584329500,100,60.93,76.55,23.0,7.0
117,San Patricio,12,MX,1584329500,84,19.22,-104.7,76.91,3.17
118,Coyhaique,90,CL,1584329500,76,-45.58,-72.07,55.4,2.1
119,Lida,97,BY,1584329500,49,53.88,25.3,29.25,5.75
120,Avera,90,US,1584329500,82,33.19,-82.53,63.0,4.1
121,Buala,100,SB,1584329262,75,-8.14,159.59,83.62,4.27
122,Kropotkin,100,RU,1584329333,49,45.44,40.58,36.0,4.23
123,Mossamedes,100,AO,1584329501,78,-15.2,12.15,75.52,2.62
124,Mackay,27,AU,1584329501,65,-21.15,149.2,86.0,9.3
125,Barsovo,75,RU,1584329415,85,61.17,73.17,17.6,10.0
126,Kapit,82,MY,1584329344,68,2.02,112.93,83.03,1.15
127,La Sarre,0,CA,1584329407,89,48.8,-79.2,2.08,1.39
128,Salalah,20,OM,1584329502,73,17.02,54.09,73.4,1.5
129,Faanui,8,PF,1584329502,71,-16.48,-151.75,83.32,4.55
130,Airai,97,TL,1584329502,58,-8.93,125.41,80.28,2.62
131,Punta Arenas,75,CL,1584329503,87,-53.15,-70.92,55.4,7.2
132,Shahreza,0,IR,1584329503,70,32.03,51.88,40.39,1.82
133,Cascais,20,PT,1584329218,71,38.7,-9.42,52.0,3.6
134,Wilmington,90,US,1584329387,71,34.23,-77.94,53.01,5.1
135,Macusani,100,PE,1584329503,94,-14.08,-70.43,33.39,0.69
136,América Dourada,100,BR,1584329504,88,-11.46,-41.44,66.97,2.11
137,Westport,1,US,1584329403,26,41.14,-73.36,44.6,5.1
138,Pangnirtung,100,CA,1584329443,91,66.15,-65.71,-19.59,3.44
139,Tasiilaq,100,GL,1584329504,50,65.61,-37.64,8.6,6.7
140,Kaitangata,100,NZ,1584329491,82,-46.28,169.85,53.01,0.89
141,Pacific Grove,90,US,1584329398,93,36.62,-121.92,52.0,2.1
142,Mitú,100,CO,1584329505,96,1.2,-70.17,73.58,0.99
143,Yar-Sale,0,RU,1584329505,95,66.83,70.83,-10.44,1.98
144,Pangody,0,RU,1584329505,90,65.85,74.49,-9.78,2.94
145,Lompoc,90,US,1584329472,93,34.64,-120.46,54.0,4.6
146,Sarh,25,TD,1584329505,13,9.14,18.39,73.42,2.45
147,Mumbai,0,IN,1584329392,32,19.01,72.85,84.2,2.1
148,Jalu,0,LY,1584329209,26,29.03,21.55,64.78,2.88
149,Los Llanos de Aridane,20,ES,1584329440,72,28.66,-17.92,64.4,6.7
150,Husavik,90,IS,1584329483,86,66.04,-17.34,30.2,6.7
151,Sabang,20,ID,1584329500,76,5.89,95.32,84.58,9.33
152,Northam,0,GB,1584329507,85,51.03,-4.22,43.0,2.24
153,Alofi,100,NU,1584329507,79,-19.06,-169.92,84.2,2.6
154,Moree,40,AU,1584329507,36,-29.47,149.85,78.8,3.1
155,Port Hardy,5,CA,1584329507,64,50.7,-127.42,33.8,1.0
156,Esperance,40,AU,1584329508,57,-33.87,121.9,78.8,3.6
157,Flinders,75,AU,1584329226,72,-34.58,150.86,73.0,5.7
158,Dingli,20,MT,1584329508,82,35.86,14.38,57.2,4.1
159,Saint Anthony,90,US,1584329508,64,45.02,-93.22,37.0,1.5
160,Slave Lake,1,CA,1584329508,71,55.28,-114.77,5.0,2.1
161,Ugoofaaru,37,MV,1584329507,74,5.67,73.0,83.39,3.91
162,Urbano Santos,100,BR,1584329509,96,-3.21,-43.4,74.01,0.6
163,Qaanaaq,100,GL,1584329509,51,77.48,-69.36,-2.33,3.07
164,Svetlaya,0,RU,1584329509,56,46.54,138.33,24.94,4.18
165,Mar del Plata,0,AR,1584329362,93,-38.0,-57.56,60.01,1.0
166,Cherskiy,94,RU,1584329458,85,68.75,161.3,8.53,2.94
167,Oddur,13,SO,1584329510,95,4.12,43.89,70.2,5.31
168,Nador,40,MA,1584329510,82,35.17,-2.93,60.8,3.6
169,Arman',100,RU,1584329400,65,59.7,150.17,14.11,4.22
170,Fort Nelson,20,CA,1584329511,53,58.81,-122.7,24.8,1.5
171,Abu Kamal,89,SY,1584329511,69,34.45,40.92,58.37,1.97
172,Dalbandin,0,PK,1584329511,34,28.89,64.41,62.98,1.99
173,Tromsø,75,NO,1584329511,68,69.65,18.96,26.6,8.7
174,Belaya Gora,14,RU,1584329511,87,68.53,146.42,-10.98,0.76
175,Neiafu,75,TO,1584329511,74,-18.65,-173.98,86.0,3.1
176,Drumheller,67,CA,1584329512,43,51.46,-112.71,6.01,1.32
177,Provideniya,90,RU,1584329512,92,64.38,-173.3,23.0,2.0
178,Tuatapere,78,NZ,1584329512,68,-46.13,167.68,53.01,6.26
179,Mâncio Lima,90,BR,1584329513,100,-7.61,-72.9,75.2,2.1
180,Tulsīpur,0,NP,1584329513,75,28.13,82.3,72.0,1.08
181,Mercedes,0,AR,1584329514,87,-34.65,-59.43,64.0,2.89
182,Bagdarin,97,RU,1584329515,56,54.43,113.6,28.98,6.48
183,Solnechnyy,65,RU,1584329515,88,50.72,136.63,16.5,2.45
184,Ulladulla,75,AU,1584329436,72,-35.35,150.47,69.01,5.7
185,Khovu-Aksy,100,RU,1584329515,66,51.13,93.6,23.36,4.65
186,Tula,31,RU,1584329516,66,54.2,37.61,24.94,4.05
187,Poum,0,NC,1584329516,79,-20.23,164.02,81.91,5.28
188,Butaritari,88,KI,1584329516,78,3.07,172.79,84.04,5.83
189,Mana,9,GF,1584329516,91,5.66,-53.78,72.34,0.74
190,Palmer,1,US,1584329509,36,42.16,-72.33,36.0,3.6
191,Acapulco de Juárez,20,MX,1584329487,78,16.86,-99.89,82.4,3.6
192,Morros,100,BR,1584329517,94,-9.45,-46.3,70.92,1.24
193,Talnakh,75,RU,1584329517,76,69.49,88.4,-11.2,4.0
194,Nantucket,1,US,1584329417,74,41.28,-70.1,35.01,2.6
195,Mitzic,11,GA,1584329518,98,0.78,11.55,69.31,1.76
196,Tabory,0,RU,1584329518,86,58.52,64.55,20.91,3.21
197,Khovd,3,MN,1584329413,20,48.01,91.64,35.8,1.66
198,Bambous Virieux,75,MU,1584329518,94,-20.34,57.76,77.0,1.0
199,Pāsighāt,100,IN,1584329518,66,28.07,95.33,71.96,0.35
200,Tyler,90,US,1584329519,81,32.35,-95.3,55.0,5.1
201,The Valley,20,AI,1584329221,73,18.22,-63.06,77.0,2.6
202,Scottsbluff,1,US,1584329304,93,41.87,-103.67,39.2,4.6
203,Dingle,0,PH,1584329519,56,11.0,122.67,84.79,4.93
204,Kulhudhuffushi,79,MV,1584329520,74,6.62,73.07,82.99,2.49
205,Pochutla,40,MX,1584329520,83,15.74,-96.47,82.4,2.6
206,Inírida,67,CO,1584329520,86,3.87,-67.92,76.82,0.93
207,Olinda,75,BR,1584329376,100,-8.01,-34.86,75.2,2.1
208,Panabá,0,MX,1584329520,79,21.28,-88.27,76.91,4.84
209,General Roca,0,AR,1584329521,32,-39.03,-67.58,69.8,3.6
210,Thinadhoo,98,MV,1584329521,60,0.53,72.93,83.39,3.01
211,São Filipe,14,CV,1584329521,72,14.9,-24.5,70.61,8.95
212,Touros,75,BR,1584329338,100,-5.2,-35.46,75.2,2.1
213,Selma,79,US,1584329521,76,36.57,-119.61,57.2,3.19
214,Blagoyevo,19,RU,1584329522,85,63.37,47.92,15.15,5.24
215,Hamilton,90,US,1584329522,86,39.18,-84.53,42.01,1.5
216,Faya,16,SA,1584329522,93,18.39,42.45,55.4,1.58
217,Pamekasan,4,ID,1584329508,68,-7.16,113.47,85.87,2.69
218,Portland,75,US,1584329357,44,45.52,-122.68,42.01,10.8
219,Dimāpur,87,IN,1584329523,44,25.9,93.73,79.36,0.89
220,Bucerías,5,MX,1584329523,83,20.75,-105.33,73.4,2.16
221,Bianzhuang,100,CN,1584329524,46,34.85,118.04,52.02,4.75
222,Saint Paul Harbor,40,US,1584329524,64,57.79,-152.41,39.2,4.1
223,Cidreira,100,BR,1584329524,91,-30.18,-50.21,74.34,6.37
224,Turukhansk,77,RU,1584329524,86,65.82,87.98,-7.64,2.67
225,Tilichiki,100,RU,1584329524,96,60.47,166.1,28.92,10.54
226,Cururupu,100,BR,1584329524,99,-1.83,-44.87,73.63,1.41
227,Nouadhibou,0,MR,1584329491,82,20.93,-17.03,60.8,8.2
228,Kloulklubed,75,PW,1584329525,70,7.04,134.26,86.0,6.2
229,Dunedin,88,NZ,1584329422,82,-45.87,170.5,53.01,0.45
230,Kargasok,100,RU,1584329525,97,59.06,80.86,32.72,8.7
231,Tuktoyaktuk,20,CA,1584329526,76,69.45,-133.04,-9.4,1.06
232,Tselinnoye,100,RU,1584329526,79,53.08,85.67,36.82,7.06
233,Chacabuco,0,AR,1584329526,89,-34.64,-60.47,59.0,2.27
234,Kieta,100,PG,1584329526,72,-6.22,155.63,83.5,2.83
235,Tiznit Province,98,MA,1584329526,84,29.58,-9.5,50.67,1.2
236,Chervona Sloboda,0,UA,1584329527,56,49.38,32.15,30.11,4.22
237,Hailar,100,CN,1584329527,83,49.2,119.7,19.92,2.88
238,Chimbote,100,PE,1584329371,64,-9.09,-78.58,76.89,2.69
239,Kruisfontein,100,ZA,1584329527,88,-34.0,24.73,60.33,4.48
240,Corn Island,33,NI,1584329527,76,12.17,-83.04,80.82,7.6
241,Lagoa,0,PT,1584329528,75,39.05,-27.98,60.76,6.26
242,Ponta Delgada,20,PT,1584329528,76,37.73,-25.67,50.0,1.0
243,Sumoto,40,JP,1584329528,70,34.35,134.9,52.0,7.2
244,Pucallpa,75,PE,1584329528,94,-8.38,-74.55,75.2,1.31
245,Zastavna,0,UA,1584329529,67,48.52,25.84,23.0,1.81
246,Nara,75,JP,1584329239,65,34.69,135.8,50.0,7.2
247,San-Pédro,77,CI,1584329529,81,4.75,-6.64,81.75,3.75
248,Butler,90,US,1584329529,86,39.45,-84.57,43.0,2.6
249,Mahébourg,75,MU,1584329529,94,-20.41,57.7,77.0,1.0
250,Jumla,0,NP,1584329529,27,29.27,82.18,38.73,1.88
251,Klaksvík,100,FO,1584329530,69,62.23,-6.59,33.8,8.7
252,Narsaq,100,GL,1584329530,67,60.92,-46.05,21.2,0.31
253,Tateyama,75,JP,1584329530,26,34.98,139.87,57.2,7.2
254,Sur,12,OM,1584329530,70,22.57,59.53,67.82,4.12
255,Ponta do Sol,75,PT,1584329431,82,32.67,-17.1,60.8,5.1
256,Roald,90,NO,1584329407,59,62.58,6.13,35.6,5.7
257,Sola,100,VU,1584329532,77,-13.88,167.55,84.47,10.5
258,Taoudenni,0,ML,1584329532,12,22.68,-3.98,68.31,2.73
259,San Policarpo,44,PH,1584329532,67,12.18,125.51,81.73,3.91
260,Hualmay,100,PE,1584329532,79,-11.1,-77.61,71.74,1.9
261,Spanţov,0,RO,1584329532,62,44.12,26.78,28.99,1.0
262,Pointe-Noire,75,CG,1584329533,94,-4.78,11.86,80.6,1.0
263,Kahului,75,US,1584329452,83,20.89,-156.47,75.2,8.17
264,Bontang,13,ID,1584329408,74,0.13,117.5,82.8,6.63
265,Nabire,100,ID,1584329533,62,-3.37,135.48,84.96,0.14
266,Bavleny,0,RU,1584329533,86,56.4,39.56,21.51,2.47
267,Jiangyou,100,CN,1584329534,85,31.77,104.72,44.96,0.87
268,Brae,5,GB,1584329403,53,60.4,-1.35,39.2,2.6
269,Neryungri,100,RU,1584329534,81,56.67,124.65,22.62,0.45
270,Ishigaki,20,JP,1584329534,46,24.34,124.16,69.8,7.2
271,Lazarev,21,RU,1584329535,83,52.23,141.51,6.01,1.7
272,Partizanskoye,100,RU,1584329535,91,55.5,94.39,37.9,8.12
273,Uribia,0,CO,1584329535,85,11.71,-72.27,74.41,2.5
274,Jamestown,1,US,1584329535,50,42.1,-79.24,28.99,4.6
275,Trofors,64,NO,1584329536,59,65.53,13.41,33.8,2.6
276,Katobu,12,ID,1584329536,57,-4.94,122.53,90.79,0.99
277,Kununurra,41,AU,1584329536,34,-15.77,128.73,95.0,4.6
278,Chon Daen,85,TH,1584329536,74,16.19,100.86,93.99,0.5
279,Vao,10,NC,1584329536,72,-22.67,167.48,81.21,12.58
280,Corinth,90,GR,1584329537,76,37.94,22.96,48.99,4.6
281,Constitución,0,CL,1584329537,80,-35.33,-72.42,53.01,2.64
282,Kendari,97,ID,1584329243,79,-3.94,122.5,82.13,1.11
283,Mataram,40,ID,1584329537,70,-8.58,116.12,87.8,3.1
284,Hervey Bay,75,AU,1584329519,45,-25.3,152.85,82.4,7.7
285,Lavrentiya,0,RU,1584329467,83,65.58,-171.0,25.83,3.24
286,Paracuru,75,BR,1584329538,83,-3.41,-39.03,80.6,1.5
287,Kodinsk,100,RU,1584329538,90,58.69,99.18,31.17,3.92
288,Santa Cruz de Tenerife,75,ES,1584329538,87,28.47,-16.25,63.0,6.7
289,Breves,100,BR,1584329539,99,-1.68,-50.48,72.03,0.6
290,Kathmandu,20,NP,1584329522,62,27.72,85.32,55.4,1.0
291,Aliquippa,1,US,1584329539,64,40.64,-80.24,39.99,1.5
292,Hithadhoo,100,MV,1584329278,62,-0.6,73.08,83.16,2.61
293,Mauá,0,BR,1584329358,68,-23.67,-46.46,81.0,3.6
294,Teguise,75,ES,1584329540,72,29.06,-13.56,64.4,6.7
295,Tuy Hoa,0,VN,1584329540,79,13.08,109.3,78.62,2.33
296,San Antonio,90,US,1584329400,100,29.42,-98.49,69.01,1.5
297,Caravelas,100,BR,1584329495,80,-17.71,-39.25,80.2,3.44
298,Makakilo City,90,US,1584329541,83,21.35,-158.09,78.8,2.1
299,Hasaki,75,JP,1584329541,46,35.73,140.83,57.0,5.7
300,Salinópolis,100,BR,1584329541,87,-0.61,-47.36,77.83,1.84
301,Fomboni,49,KM,1584329541,74,-12.28,43.74,83.52,5.6
302,Clyde River,20,CA,1584329541,74,70.47,-68.59,-22.0,8.7
303,Baharly,0,TM,1584329542,60,38.44,57.43,57.78,1.12
304,Ilhabela,9,BR,1584329359,78,-23.78,-45.36,79.12,5.44
305,Coalinga,1,US,1584329542,62,36.14,-120.36,55.4,4.6
306,Rabo de Peixe,20,PT,1584329542,76,37.8,-25.58,50.0,1.0
307,Lüderitz,0,NA,1584329543,82,-26.65,15.16,62.6,4.6
308,Puerto Carreño,100,CO,1584329543,47,6.19,-67.49,84.34,3.75
309,Tsaratanana,69,MG,1584329543,92,-16.78,47.65,65.23,2.3
310,Festus,90,US,1584329447,80,38.22,-90.4,41.0,0.72
311,Mbuji-Mayi,100,CD,1584329544,87,-6.15,23.6,72.03,1.23
312,Puri,20,IN,1584329544,78,19.8,85.85,80.6,1.5
313,Pushchino,0,RU,1584329544,85,54.83,37.63,15.8,2.0
314,Griffith,1,US,1584329484,86,41.53,-87.42,35.6,2.1
315,San Quintín,0,MX,1584329303,77,30.48,-115.95,59.22,5.43
316,Kassala,88,SD,1584329545,50,15.45,36.4,65.53,2.92
317,Nchelenge,100,ZM,1584329545,94,-9.35,28.73,68.9,3.26
318,Lensk,100,RU,1584329545,89,60.73,114.93,30.42,5.4
319,Nizhneye Kazanishche,40,RU,1584329545,75,42.76,47.16,44.6,7.0
320,Yangi Marg`ilon,100,UZ,1584329546,46,40.43,71.72,55.4,3.1
321,Tevaitoa,6,PF,1584329546,72,-16.78,-151.5,83.46,4.11
322,Ambatofinandrahana,14,MG,1584329547,95,-20.55,46.8,55.78,1.09
323,Kavieng,100,PG,1584329547,72,-2.57,150.8,83.88,4.27
324,Mitsamiouli,46,KM,1584329470,72,-11.38,43.28,83.34,1.17
325,Lázaro Cárdenas,25,MX,1584329547,88,17.96,-102.2,75.83,1.63
326,Bilibino,66,RU,1584329331,82,68.05,166.44,4.89,1.56
327,Port Elizabeth,75,ZA,1584329548,93,-33.92,25.57,62.6,2.6
328,Fortuna,20,US,1584329448,80,40.6,-124.16,44.6,4.1
329,Sibu,75,MY,1584329548,70,2.3,111.82,86.0,3.1
330,Eyl,91,SO,1584329484,79,7.98,49.82,79.68,5.58
331,San Cristobal,20,VE,1584329548,69,7.77,-72.22,77.0,2.1
332,Bambanglipuro,7,ID,1584329372,66,-7.95,110.28,85.93,3.56
333,Praia da Vitória,20,PT,1584329457,87,38.73,-27.07,57.2,4.64
334,Ust'-Koksa,100,RU,1584329549,71,50.27,85.61,30.47,3.18
335,Kondopoga,100,RU,1584329549,83,62.21,34.26,32.0,9.0
336,Dubbo,75,AU,1584329358,47,-32.25,148.62,75.2,6.7
337,Colares,20,PT,1584329550,71,38.8,-9.45,52.0,3.6
338,Laas,75,IT,1584329550,92,46.62,10.7,32.0,0.5
339,Petropavlovsk-Kamchatskiy,90,RU,1584329344,100,53.05,158.65,35.6,7.0
340,Beloha,51,MG,1584329552,97,-25.17,45.05,70.34,3.71
341,Viiratsi,90,EE,1584329552,95,58.36,25.64,33.01,7.7
342,Timmins,40,CA,1584329358,46,48.47,-81.33,8.6,2.1
343,Dandong,0,CN,1584329553,32,40.13,124.39,36.93,4.83
344,Osmeña,0,PH,1584329553,74,10.52,119.93,80.8,6.93
345,Giovinazzo,0,IT,1584329553,75,41.19,16.67,48.0,2.6
346,Rio Grande,90,BR,1584329553,100,-32.03,-52.1,68.0,5.2
347,Padang,25,ID,1584329553,56,-0.95,100.35,84.29,0.87
348,Vestmannaeyjar,100,IS,1584329554,93,63.44,-20.27,38.98,23.72
349,San Andrés,20,CO,1584329554,78,12.58,-81.7,80.6,4.6
350,Katsuura,75,JP,1584329554,26,35.13,140.3,57.2,7.2
351,Ostrovnoy,100,RU,1584329493,95,68.05,39.51,24.62,3.38
352,Bushehr,40,IR,1584329555,59,28.97,50.84,66.2,2.1
353,Napier City,100,NZ,1584329553,70,-39.48,176.92,70.0,1.79
354,Cap Malheureux,75,MU,1584329555,94,-19.98,57.61,77.0,1.0
355,Bandiagara,100,ML,1584329555,25,14.35,-3.61,86.0,4.1
356,Kumluca,73,TR,1584329415,94,36.37,30.29,52.59,0.79
357,Mount Isa,39,AU,1584329434,24,-20.73,139.5,91.4,4.6
358,Adrar,0,MR,1584329556,20,20.5,-10.07,67.33,5.64
359,São João da Barra,0,BR,1584329446,87,-21.64,-41.05,77.74,5.44
360,São José de Ribamar,75,BR,1584329556,100,-2.56,-44.05,75.2,3.6
361,Yarmouth,1,US,1584329538,73,41.71,-70.23,36.0,4.77
362,Birao,100,CF,1584329557,14,10.28,22.79,79.61,4.61
363,Poopó,80,BO,1584329557,65,-18.37,-66.97,52.16,1.89
364,Cangzhou,74,CN,1584329558,35,38.32,116.87,51.4,4.65
365,Betsiamites,1,CA,1584329558,51,48.94,-68.65,15.8,3.6
366,Longyearbyen,90,SJ,1584329558,84,78.22,15.64,-0.4,2.1
367,‘Ewa Beach,90,US,1584329558,83,21.32,-158.01,78.8,2.1
368,Myski,100,RU,1584329558,81,53.71,87.8,38.16,3.4
369,Lourdes,90,FR,1584329283,93,43.1,-0.05,48.2,2.6
370,Fare,0,PF,1584329559,68,-16.7,-151.02,83.52,3.97
371,Zhigansk,100,RU,1584329559,93,66.77,123.37,4.03,11.37
372,Stornoway,38,GB,1584329559,71,58.21,-6.39,33.01,2.1
